,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
36,Noumea,-22.2763,166.4572,80.01,100,75,2.3,NC,1612457286
37,Hofn,64.2539,-15.2082,35.55,82,100,13.0,IS,1612457289
38,Altamira,-3.2033,-52.2064,89.6,66,75,5.75,BR,1612457194
39,Hithadhoo,-0.6,73.0833,82.6,75,72,10.71,MV,1612457291
40,Kaitangata,-46.2817,169.8464,50.0,76,0,3.0,NZ,1612457292
41,Acapulco de Juárez,16.8634,-99.8901,82.4,69,1,4.61,MX,1612457176
42,Half Moon Bay,37.4636,-122.4286,48.2,61,1,4.63,US,1612457294
43,Abbeyfeale,52.3814,-9.3025,46.99,81,40,5.75,IE,1612457295
44,San Cristobal,7.7669,-72.225,89.6,40,20,4.61,VE,1612457297
45,Puerto Ayora,-0.7393,-90.3518,84.2,65,0,17.27,EC,1612457298
46,Arraial do Cabo,-22.9661,-42.0278,95.0,48,0,20.71,BR,1612457299
47,Podbořany,50.2294,13.4119,43.0,7,33,10.0,CZ,1612457300
48,Kenai,60.5544,-151.2583,14.0,85,90,5.75,US,1612457302
49,San Quintín,30.4833,-115.95,59.54,76,100,13.02,MX,1612457303
50,Albany,42.6001,-73.9662,35.01,52,5,1.99,US,1612457295
51,General Roca,-39.0333,-67.5833,90.88,13,0,10.67,AR,1612457306
52,Provideniya,64.3833,-173.3,-12.24,86,99,26.4,RU,1612457307
53,Hirara,24.8,125.2833,66.78,67,49,16.67,JP,1612457308
54,Geraldton,-28.7667,114.6,78.8,29,99,20.71,AU,1612457309
55,Águeda Municipality,40.5772,-8.4444,60.01,70,98,1.99,PT,1612457310
56,Dalbandin,28.8947,64.4101,51.26,37,0,3.89,PK,1612457312
57,Guiyang,26.5833,106.7167,48.2,100,90,13.42,CN,1612457314
58,Ushuaia,-54.8,-68.3,57.2,54,20,43.73,AR,1612457209
59,Hay River,60.8156,-115.7999,-23.8,69,100,17.27,CA,1612457316
60,Bend,44.0582,-121.3153,30.99,69,1,11.5,US,1612457317
61,Mar del Plata,-38.0023,-57.5575,73.4,53,0,18.41,AR,1612457100
62,Turukhansk,65.8167,87.9833,-13.07,90,100,4.03,RU,1612457319
63,Tiarei,-17.5333,-149.3333,75.2,88,20,2.3,PF,1612457320
64,Salalah,17.0151,54.0924,75.2,69,40,3.44,OM,1612457324
65,Mataura,-46.1927,168.8643,40.57,93,44,3.22,NZ,1612457326
66,Padang,-0.9492,100.3543,78.8,89,40,2.3,ID,1612457327
67,Pauri,30.15,78.7833,41.9,95,100,5.3,IN,1612457328
68,Tingo María,-9.2895,-76.0088,82.4,65,20,3.44,PE,1612457329
69,Atuona,-9.8,-139.0333,77.97,71,34,10.8,PF,1612457331
70,Aykhal,66.0,111.5,-29.92,82,100,4.5,RU,1612457332
71,Severodvinsk,64.5635,39.8302,8.6,78,90,15.66,RU,1612457106
72,New Norfolk,-42.7826,147.0587,62.6,82,97,5.75,AU,1612457335
73,Balkanabat,39.5108,54.3671,54.43,41,58,3.65,TM,1612457336
74,Lucapa,-8.4192,20.7447,72.7,80,0,0.4,AO,1612457337
75,São Félix do Xingu,-6.6447,-51.995,89.51,57,86,2.21,BR,1612457338
76,Kui Buri,12.0828,99.8543,72.39,71,23,4.03,TH,1612457340
77,Saskylakh,71.9167,114.0833,-42.03,75,0,5.03,RU,1612457341
78,Cidreira,-30.1811,-50.2056,79.92,59,61,18.37,BR,1612457343
79,Tuktoyaktuk,69.4541,-133.0374,-38.2,67,20,10.36,CA,1612457344
80,Hilo,19.7297,-155.09,66.2,82,90,10.54,US,1612457346
81,Guerrero Negro,27.9769,-114.0611,64.72,61,69,13.62,MX,1612457348
82,Prince Rupert,54.3161,-130.3201,39.2,93,90,6.91,CA,1612457105
83,Kavieng,-2.5744,150.7967,82.87,73,100,6.8,PG,1612457350
84,Camocim,-2.9022,-40.8411,87.35,58,96,15.26,BR,1612457353
85,Hermanus,-34.4187,19.2345,72.0,72,38,4.0,ZA,1612457354
86,Cape Town,-33.9258,18.4232,73.99,68,0,26.46,ZA,1612457355
87,Jérémie,18.65,-74.1167,78.89,70,63,9.4,HT,1612457357
88,Hobart,-42.8794,147.3294,62.6,82,99,5.75,AU,1612457358
89,Bathsheba,13.2167,-59.5167,84.2,58,75,21.85,BB,1612457359
90,Camapuã,-19.5314,-54.0439,88.92,55,46,7.63,BR,1612457360
91,Port Alfred,-33.5906,26.891,73.0,79,66,1.99,ZA,1612457361
92,Japura,-0.3167,102.35,73.15,86,84,1.57,ID,1612457363
93,Ancud,-41.8697,-73.8203,80.01,53,0,10.36,CL,1612457204
94,Bougouni,11.417,-7.479,100.53,8,0,1.61,ML,1612457365
95,Leh,34.1667,77.5833,9.27,62,100,4.9,IN,1612457366
96,Henties Bay,-22.116,14.2845,68.0,80,78,5.99,NA,1612457367
97,Várzea Alegre,-5.35,-40.3833,96.04,30,41,7.85,BR,1612457368
98,Fairfield,41.2668,-73.3162,37.99,55,40,12.66,US,1612457157
99,Ballina,-28.8667,153.5667,66.2,100,40,1.79,AU,1612457371
100,Cootamundra,-34.65,148.0333,66.99,87,100,5.99,AU,1612457372
101,Dunedin,-45.8742,170.5036,52.0,77,7,1.99,NZ,1612457373
102,Nadym,65.5333,72.5167,-14.55,89,84,8.41,RU,1612457374
103,Garoowe,8.4054,48.4845,71.91,55,0,17.43,SO,1612457375
104,Winnemucca,40.973,-117.7357,21.2,86,1,4.61,US,1612457184
105,Erzin,36.9559,36.2,64.0,56,21,4.0,TR,1612457377
106,Upernavik,72.7868,-56.1549,-9.74,72,99,3.89,GL,1612457378
107,Coquimbo,-29.9533,-71.3436,66.2,68,20,8.05,CL,1612457101
108,Sterlibashevo,53.4376,55.2578,35.19,98,100,7.47,RU,1612457381
109,Norman Wells,65.282,-126.8329,-52.6,65,40,0.96,CA,1612457382
110,Broome,42.2506,-75.833,33.01,74,1,12.66,US,1612457383
111,Barinitas,8.7622,-70.4111,87.53,43,67,5.48,VE,1612457384
112,Yeppoon,-23.1333,150.7333,73.4,83,16,9.91,AU,1612457385
113,Bengkulu,-3.8004,102.2655,76.05,86,100,4.83,ID,1612457386
114,Fortuna,40.5982,-124.1573,39.99,100,75,5.75,US,1612457387
115,Port Blair,11.6667,92.75,79.02,81,17,8.9,IN,1612457105
116,Haapiti,-17.5667,-149.8667,75.2,88,20,2.3,PF,1612457390
117,Mutoko,-17.397,32.2268,70.02,92,23,4.34,ZW,1612457391
118,Hong Kong,22.2855,114.1577,66.0,84,0,1.01,HK,1612457375
119,Labuhan,-6.8844,112.2051,78.84,86,93,15.1,ID,1612457394
120,Khatanga,71.9667,102.5,-30.37,79,0,9.31,RU,1612457395
121,Vanimo,-2.6741,141.3028,78.46,81,74,5.17,PG,1612457397
122,Chui,-33.6971,-53.4616,73.76,61,90,20.38,UY,1612457335
123,Cherskiy,68.75,161.3,-7.87,70,2,12.19,RU,1612457399
124,Marzuq,14.4,46.4667,61.74,60,0,5.37,YE,1612457400
125,Kalanguy,51.0167,116.5167,4.26,93,100,3.56,RU,1612457401
126,Bredasdorp,-34.5322,20.0403,73.4,56,84,11.5,ZA,1612457402
127,San Andrés,12.5847,-81.7006,80.6,74,75,12.66,CO,1612457404
128,Ptuj,46.4201,15.8702,53.6,66,0,10.36,SI,1612457405
129,San Policarpo,12.1791,125.5072,79.77,84,7,16.82,PH,1612457406
130,Saint-Philippe,-21.3585,55.7679,82.4,69,90,2.3,RE,1612457407
131,Uray,60.1247,64.7758,10.62,95,100,6.31,RU,1612457408
132,Te Anau,-45.4167,167.7167,48.06,88,1,0.89,NZ,1612457409
133,Nikolskoye,59.7035,30.7861,10.4,85,20,13.42,RU,1612457410
134,Kalianget,-7.05,113.9333,80.71,81,99,16.93,ID,1612457411
135,Khandyga,62.6667,135.6,-47.61,76,99,1.3,RU,1612457413
136,Rudnogorsk,57.2639,103.7519,2.52,95,100,3.49,RU,1612457414
137,Severo-Kuril'sk,50.6789,156.125,9.52,89,97,13.89,RU,1612457415
138,Sitka,57.0531,-135.33,35.6,100,90,1.7,US,1612457416
139,Amahai,-3.3333,128.9167,78.49,82,100,4.23,ID,1612457220
140,Chokurdakh,70.6333,147.9167,-8.48,84,0,17.18,RU,1612457418
141,Miyako,39.6367,141.9525,20.28,85,6,15.73,JP,1612457419
142,Mahébourg,-20.4081,57.7,80.6,78,40,10.36,MU,1612457421
143,Ponta do Sol,32.6667,-17.1,59.0,58,91,3.0,PT,1612457422
144,Tuatapere,-46.1333,167.6833,44.71,89,10,3.94,NZ,1612457423
145,Mbandaka,0.0487,18.2603,77.99,73,95,2.37,CD,1612457426
146,Ust'-Charyshskaya Pristan',52.3934,83.6635,19.2,97,100,3.42,RU,1612457428
147,Clyde River,70.4692,-68.5914,-23.8,76,75,8.05,CA,1612457430
148,Quatre Cocos,-20.2078,57.7625,81.0,78,40,10.36,MU,1612457431
149,West Bay,19.3667,-81.4167,78.8,53,20,14.97,KY,1612457433
150,Castro,-24.7911,-50.0119,80.82,71,29,10.13,BR,1612457434
151,Aripuanã,-9.1667,-60.6333,93.42,49,44,2.95,BR,1612457436
152,Arlit,18.7369,7.3853,78.42,15,42,4.88,NE,1612457437
153,Qaqortoq,60.7167,-46.0333,17.6,41,20,5.19,GL,1612457439
154,Saint Paul Harbor,57.79,-152.4072,17.6,93,20,6.91,US,1612457440
155,Port Elizabeth,-33.918,25.5701,73.4,73,40,6.91,ZA,1612457185
156,Ostrovnoy,68.0531,39.5131,10.67,92,100,20.15,RU,1612457442
157,Anloga,5.7947,0.8973,87.8,74,20,12.66,GH,1612457443
158,Bubaque,11.2833,-15.8333,77.94,60,33,9.44,GW,1612457444
159,Port-Cartier,50.0334,-66.8654,33.01,69,100,4.61,CA,1612457445
160,Auki,-8.7676,160.7034,77.27,84,100,8.63,SB,1612457446
161,San Patricio,28.017,-97.5169,75.99,68,75,23.02,US,1612457448
162,Byron Bay,-28.65,153.6167,66.2,100,40,2.08,AU,1612457449
163,Maniitsoq,65.4167,-52.9,7.83,73,0,8.23,GL,1612457450
164,Ankazoabo,-22.2833,44.5167,78.49,75,73,2.21,MG,1612457452
165,Iqaluit,63.7506,-68.5145,8.6,85,90,25.32,CA,1612457453
166,Kanniyākumāri,8.0833,77.5667,78.1,68,28,20.98,IN,1612457454
167,Klaksvík,62.2266,-6.589,35.6,64,40,17.27,FO,1612457456
168,Kiryat Gat,31.61,34.7642,59.0,100,100,11.95,IL,1612457457
169,Ugoofaaru,5.6667,73.0,81.88,74,89,10.38,MV,1612457458
170,Havre-St-Pierre,50.2334,-63.5986,33.8,93,90,3.44,CA,1612457459
171,East London,-33.0153,27.9116,73.4,78,75,5.75,ZA,1612457415
172,Wajir,1.7471,40.0573,91.4,31,1,8.12,KE,1612457461
173,Mauá,-23.6678,-46.4614,87.01,54,40,18.41,BR,1612457463
174,Øksfjord,70.2396,22.3479,32.0,64,40,13.8,NO,1612457464
175,Lavrentiya,65.5833,-171.0,-15.29,85,70,15.23,RU,1612457465
176,Boa Vista,2.8197,-60.6733,82.4,74,90,5.75,BR,1612457466
177,Peniche,39.3558,-9.3811,59.0,72,100,6.67,PT,1612457467
178,Jinan,36.6683,116.9972,48.0,32,100,1.99,CN,1612457468
179,Nelson Bay,-32.7167,152.15,71.01,88,59,8.05,AU,1612457469
180,Thompson,55.7435,-97.8558,-9.4,70,90,13.8,CA,1612457406
181,Saint-Joseph,-21.3667,55.6167,82.4,69,90,2.3,RE,1612457413
182,Lorengau,-2.0226,147.2712,82.18,71,100,6.82,PG,1612457474
183,George Town,5.4112,100.3354,81.0,65,20,4.61,MY,1612457299
184,Margate,51.3813,1.3862,46.99,86,92,1.99,GB,1612457476
185,Atar,20.5169,-13.0499,88.43,11,71,15.59,MR,1612457180
186,Panalingaan,8.7842,117.4231,78.35,84,99,10.8,PH,1612457481
187,Dikson,73.5069,80.5464,-8.81,91,100,10.83,RU,1612457483
188,Palmer,42.1584,-72.3287,36.0,55,75,9.22,US,1612457484
189,Hlotse,-28.8718,28.045,61.63,90,51,2.57,LS,1612457485
190,Marsá Maţrūḩ,31.3525,27.2453,62.6,77,75,13.8,EG,1612457486
191,Motygino,58.1831,94.7592,6.01,94,100,5.57,RU,1612457487
192,Chippewa Falls,44.9369,-91.3929,30.99,86,90,8.05,US,1612457489
193,Katsuura,35.1333,140.3,39.99,45,20,5.75,JP,1612457239
194,Tholos,40.9999,23.7823,52.0,68,0,4.0,GR,1612457491
195,Okhotsk,59.3833,143.3,3.33,89,100,13.58,RU,1612457492
196,Mayo,38.8876,-76.5119,42.01,35,1,9.22,US,1612457493
197,Sestri Levante,44.2732,9.3968,57.99,99,100,6.31,IT,1612457494
198,Dryden,49.7833,-92.7503,12.2,85,90,17.27,CA,1612457495
199,Banda Aceh,5.5577,95.3222,77.56,82,22,12.12,ID,1612457497
200,Uauá,-9.8414,-39.4817,95.05,27,5,7.27,BR,1612457498
201,Orlik,52.5178,99.825,8.17,87,81,5.7,RU,1612457499
202,Pacific Grove,36.6177,-121.9166,50.0,93,1,5.75,US,1612457501
203,Fort Nelson,58.8053,-122.7002,-16.6,76,75,3.44,CA,1612457502
204,Airai,-8.9266,125.4092,60.01,100,100,3.42,TL,1612457503
205,Roskoshnoye,48.5074,39.3004,46.62,87,100,14.29,UA,1612457505
206,Santa Fe,-31.6333,-60.7,84.0,47,0,8.01,AR,1612457410
207,Pozo Colorado,-23.4923,-58.7972,86.25,49,25,10.51,PY,1612457507
208,Sept-Îles,50.2001,-66.3821,33.01,69,98,4.61,CA,1612457342
209,Nur-Sultan,51.1801,71.446,26.6,93,90,11.18,KZ,1612457509
210,Wanning,18.8003,110.3967,69.08,78,90,4.9,CN,1612457420
211,Sørland,67.667,12.6934,37.4,70,20,12.66,NO,1612457511
212,Port Lincoln,-34.7333,135.8667,57.15,66,0,19.77,AU,1612457512
213,Ipixuna,-1.7625,-48.8043,87.8,62,75,10.36,BR,1612457514
214,Baraut,29.1,77.2667,55.4,88,20,4.61,IN,1612457515
215,Pimentel,-6.8367,-79.9342,78.8,61,0,12.66,PE,1612457476
216,Yellowknife,62.456,-114.3525,-25.01,75,40,10.36,CA,1612457375
217,Lüderitz,-26.6481,15.1594,74.05,52,0,24.83,NA,1612457518
218,Biak,-0.9131,122.8766,76.77,79,100,3.15,ID,1612457519
219,Farmington,36.7281,-108.2187,39.0,48,1,17.27,US,1612457382
220,Weinan,34.5036,109.5089,43.0,60,0,4.47,CN,1612457521
221,Kasempa,-13.4584,25.8338,69.85,79,57,0.58,ZM,1612457523
222,Bazaliia,49.7127,26.4733,30.76,96,100,24.47,UA,1612457524
223,Vrnograč,45.1636,15.9536,55.4,71,20,3.44,BA,1612457525
224,Sühbaatar,50.2314,106.2078,12.76,91,100,4.41,MN,1612457526
225,Price,39.5994,-110.8107,28.4,54,90,6.91,US,1612457527
226,Richards Bay,-28.783,32.0377,77.65,88,100,8.48,ZA,1612457528
227,Tasiilaq,65.6145,-37.6368,24.8,86,90,23.02,GL,1612457529
228,Kieta,-6.2167,155.6333,78.91,75,100,4.09,PG,1612457531
229,Lagoa,39.05,-27.9833,54.88,69,65,26.49,PT,1612457532
230,Kavaratti,10.5669,72.642,81.99,66,75,6.8,IN,1612457533
231,Tual,-5.6667,132.75,82.92,79,98,22.97,ID,1612457534
232,Broken Hill,-31.95,141.4333,82.4,21,75,11.5,AU,1612457535
233,Kamenka,51.3223,42.7678,37.0,97,100,9.46,RU,1612457536
234,Kiyasovo,56.3491,53.1244,21.99,94,97,1.01,RU,1612457537
235,Mossamedes,-15.1961,12.1522,75.45,66,0,15.97,AO,1612457538
236,Hamilton,39.1834,-84.5333,36.0,69,1,9.26,US,1612457540
237,Ouahigouya,13.5828,-2.4216,95.76,9,78,6.15,BF,1612457541
238,São João da Barra,-21.6403,-41.0511,89.6,45,20,17.27,BR,1612457542
239,Akşehir,38.3575,31.4164,46.02,57,0,2.82,TR,1612457543
240,Kinablangan,7.6947,126.5503,76.78,85,37,5.08,PH,1612457545
241,Kastamonu Province,41.5,33.6667,44.69,69,50,4.05,TR,1612457548
242,Bandarbeyla,9.4942,50.8122,74.41,66,0,14.5,SO,1612457549
243,Maués,-3.3836,-57.7186,92.21,52,69,4.68,BR,1612457529
244,Port Hedland,-20.3167,118.5667,82.4,89,40,12.66,AU,1612457551
245,Tazovsky,67.4667,78.7,-20.76,87,83,7.31,RU,1612457552
246,Hojāi,26.0,92.8667,63.3,63,2,2.39,IN,1612457553
247,Upata,8.0086,-62.3989,84.42,61,26,6.64,VE,1612457554
248,Pochutla,15.7432,-96.4661,84.99,74,75,5.39,MX,1612457555
249,Guderup,54.9898,9.8717,30.2,93,90,9.22,DK,1612457557
250,Fairbanks,64.8378,-147.7164,-7.01,77,90,8.05,US,1612457559
251,Aracati,-4.5617,-37.7697,90.64,47,94,14.16,BR,1612457315
252,Lishan,31.8576,113.2951,49.5,67,100,4.29,CN,1612457561
253,Daru,-9.0763,143.2092,78.94,86,100,9.53,PG,1612457562
254,Chimbarongo,-34.7,-71.05,84.2,45,0,4.61,CL,1612457563
255,Laguna,38.421,-121.4238,45.0,75,1,4.61,US,1612457401
256,Carutapera,-1.195,-46.02,88.34,58,48,11.07,BR,1612457567
257,Umluj,25.0213,37.2685,70.27,54,54,10.38,SA,1612457568
258,The Valley,18.217,-63.0578,84.2,69,20,17.27,AI,1612457569
259,Iranshahr,27.2025,60.6848,64.4,12,0,4.61,IR,1612457570
260,Basco,20.4487,121.9702,70.56,77,36,24.0,PH,1612457571
261,Vilyuysk,63.7553,121.6247,-41.84,81,40,5.55,RU,1612457572
262,Torrington,41.8007,-73.1212,35.01,74,28,5.01,US,1612457388
263,Bima,-8.4667,118.7167,76.05,84,100,1.05,ID,1612457575
264,Karasburg,-28.0167,18.75,92.35,12,0,18.59,NA,1612457576
265,Ryōtsu-minato,38.0833,138.4333,33.94,85,98,21.12,JP,1612457577
266,The Hague,52.0767,4.2986,48.0,93,90,5.75,NL,1612457463
267,Lata,40.1629,-8.3327,61.0,85,94,3.0,PT,1612457579
268,Batemans Bay,-35.7167,150.1833,72.0,83,37,5.99,AU,1612457580
269,Zheleznodorozhnyy,55.7503,38.0042,28.4,93,90,4.47,RU,1612457581
270,Uyuni,-20.4597,-66.825,62.85,37,29,4.56,BO,1612457583
271,Dudinka,69.4058,86.1778,-28.05,85,78,6.85,RU,1612457584
272,Dhidhdhoo,6.8833,73.1,82.0,73,61,9.1,MV,1612457585
273,Kalmunai,7.4167,81.8167,77.29,80,100,10.09,LK,1612457586
274,Sola,-13.8833,167.55,79.41,84,65,8.7,VU,1612457587
275,Jhawarian,32.3614,72.6228,56.23,53,7,2.17,PK,1612457588
276,Brigham City,41.5102,-112.0155,32.0,59,90,9.22,US,1612457589
277,Kumul,42.8,93.45,27.63,84,3,0.89,CN,1612457590
278,Rocha,-34.4833,-54.3333,72.59,59,75,19.04,UY,1612457592
279,Corrente,-3.7367,-43.3394,92.08,45,15,5.57,BR,1612457593
280,Mgandu,-5.95,34.1333,64.24,88,54,2.35,TZ,1612457594
281,Narsaq,60.9167,-46.05,17.6,41,20,5.91,GL,1612457595
282,Yuci,37.6803,112.7319,30.2,34,0,4.47,CN,1612457596
283,Faanui,-16.4833,-151.75,80.92,67,7,4.61,PF,1612457597
284,Nome,64.5011,-165.4064,-2.2,50,90,10.36,US,1612457598
285,Ribeirão Branco,-24.2208,-48.7656,84.2,57,99,7.81,BR,1612457600
286,Cabo San Lucas,22.8909,-109.9124,73.4,38,20,2.3,MX,1612457601
287,Kendari,-3.945,122.4989,76.48,90,100,3.02,ID,1612457602
288,Kano,12.0001,8.5167,84.2,13,0,10.36,NG,1612457603
289,Dingle,10.9995,122.6711,74.44,92,52,7.52,PH,1612457604
290,Praia,14.9215,-23.5087,73.4,64,0,24.16,CV,1612457605
291,Pedro Juan Caballero,-22.5472,-55.7333,77.0,78,90,9.22,PY,1612457470
292,Mardin,37.3131,40.7436,55.4,71,75,3.44,TR,1612457608
293,Lanzhou,36.0564,103.7922,35.01,38,48,2.08,CN,1612457609
294,Botwood,49.1499,-55.3482,42.01,96,84,3.69,CA,1612457610
295,Belém de São Francisco,-8.7539,-38.9658,95.27,27,0,5.88,BR,1612457611
296,Mount Gambier,-37.8333,140.7667,55.4,100,90,19.57,AU,1612457612
297,Marigot,18.0667,-63.0833,84.2,65,20,16.11,MF,1612457613
298,Tessalit,20.1986,1.0114,85.98,11,1,10.94,ML,1612457614
299,Katangli,51.7102,143.2326,-13.18,83,100,14.29,RU,1612457617
300,Dubbo,-32.25,148.6167,71.6,68,90,8.05,AU,1612457618
301,Aswān,24.0934,32.907,64.81,36,0,10.02,EG,1612457584
302,Baní,18.2833,-70.3333,84.2,65,20,11.5,DO,1612457620
303,Yar-Sale,66.8333,70.8333,-24.32,86,46,7.4,RU,1612457621
304,Varhaug,58.6147,5.6457,19.99,73,0,5.75,NO,1612457622
305,Aksarka,66.5606,67.7975,-15.3,89,89,5.7,RU,1612457623
306,Jiujiang,29.7333,115.9833,50.81,87,100,7.4,CN,1612457625
307,Vestmanna,62.1564,-7.1664,33.8,69,20,17.27,FO,1612457627
308,Bartica,6.4,-58.6167,84.2,70,75,18.41,GY,1612457628
309,Lompoc,34.6391,-120.4579,52.0,81,1,3.44,US,1612457629
310,Shahr-e Bābak,30.1165,55.1186,49.39,40,0,2.98,IR,1612457630
311,Morondava,-20.2833,44.2833,86.02,79,34,8.77,MG,1612457632
312,Ribeira Grande,38.5167,-28.7,55.4,62,40,5.75,PT,1612457634
313,Cocorit,27.5833,-109.9667,64.4,48,75,0.94,MX,1612457635
314,Chu,43.5983,73.7614,34.0,67,74,5.99,KZ,1612457636
315,Río Gallegos,-51.6226,-69.2181,73.4,40,40,26.46,AR,1612457638
316,Palmares do Sul,-30.2578,-50.5097,81.3,56,46,20.07,BR,1612457588
317,Verkhoyansk,67.5447,133.385,-42.86,72,31,2.01,RU,1612457460
318,Mnogovershinnyy,53.9353,139.9242,-18.99,88,100,9.33,RU,1612457642
319,Pevek,69.7008,170.3133,-13.45,78,0,8.3,RU,1612457643
320,Tautira,-17.7333,-149.15,75.2,88,20,2.3,PF,1612457422
321,Ahipara,-35.1667,173.1667,59.04,87,4,4.32,NZ,1612457405
322,Tierralta,8.1736,-76.0592,86.97,62,95,6.11,CO,1612457646
323,Deloraine,-41.5333,146.6667,63.0,93,97,3.76,AU,1612457647
324,Departamento de Maldonado,-34.6667,-54.9167,75.2,60,75,24.16,UY,1612457604
325,Ningxiang,37.34,111.2052,30.43,70,100,5.59,CN,1612457651
326,Damietta,31.4165,31.8133,64.4,82,40,11.5,EG,1612457652
327,Benguela,-12.5763,13.4055,80.33,70,1,9.84,AO,1612457653
328,Voh,-20.9667,164.7,75.09,90,42,4.12,NC,1612457654
329,Cabedelo,-6.9811,-34.8339,87.8,58,40,13.8,BR,1612457418
330,Dwārka,22.2394,68.9678,70.07,70,0,10.4,IN,1612457656
331,Souillac,-20.5167,57.5167,80.6,78,40,10.36,MU,1612457657
332,Khorramabad,33.4878,48.3558,55.0,45,98,0.96,IR,1612457659
333,Bowen,-20.0167,148.2333,73.4,94,75,6.91,AU,1612457660
334,San Jose,37.3394,-121.895,50.0,66,20,3.44,US,1612457662
335,Portland,45.5234,-122.6762,42.01,90,99,1.99,US,1612457411
336,Bethel,41.3712,-73.414,35.01,55,40,12.66,US,1612457420
337,Isangel,-19.55,169.2667,77.94,81,78,7.18,VU,1612457665
338,Touros,-5.1989,-35.4608,87.8,58,40,18.41,BR,1612457666
339,Manggar,-2.8833,108.2667,79.14,82,68,11.32,ID,1612457668
340,Inhapim,-19.5492,-42.12,81.9,61,55,6.44,BR,1612457669
341,Mufumbwe,-13.6833,24.8,70.86,82,56,3.22,ZM,1612457670
342,Bonavista,48.6499,-53.1147,41.0,100,77,3.44,CA,1612457671
343,Kawalu,-7.3817,108.2082,73.4,89,100,3.11,ID,1612457672
344,Takelsa,36.7833,10.6333,68.0,52,20,2.3,TN,1612457673
345,Chittarkonda,18.1167,82.0833,61.5,58,5,3.49,IN,1612457674
346,Mbini,1.574,9.6134,84.2,84,40,4.61,GQ,1612457676
347,Bakau,13.4781,-16.6819,87.8,37,0,5.75,GM,1612457677
348,Methven,-43.6333,171.65,40.03,87,0,1.45,NZ,1612457679
349,Cotonou,6.3654,2.4183,89.6,70,20,13.8,BJ,1612457680
350,Evans,33.5337,-82.1307,50.0,46,97,1.99,US,1612457619
351,Porto-Novo,6.4965,2.6036,89.6,70,20,13.8,BJ,1612457682
352,Ormara,25.2088,64.6357,70.65,45,0,7.96,PK,1612457683
353,Husavik,66.0449,-17.3389,24.8,74,20,3.44,IS,1612457685
354,Nioro,13.35,-15.75,101.55,8,21,4.76,GM,1612457686
355,Namatanai,-3.6667,152.4333,78.66,81,100,3.4,PG,1612457687
356,Det Udom,14.906,105.0784,71.6,73,0,8.05,TH,1612457688
